Condition,Seed,Recon_Loss,KL_Loss,Total_Loss,Training_Time_Sec
S7,42,0.021728,0.000001,0.021730,878.8
S7,153,0.005101,0.000037,0.005131,867.3
S7,264,0.001928,0.000003,0.001931,869.5
S7,375,0.002658,0.000017,0.002672,875.7
S7,486,0.022736,0.000001,0.022737,869.3
S7,597,0.018256,0.000000,0.018256,827.9
S7,708,0.001519,0.000004,0.001522,820.6
S7,819,0.004661,0.000006,0.004666,827.5
S7,930,0.028495,0.000000,0.028495,823.2
S7,1041,0.015940,0.000012,0.015950,834.6
S15,42,0.019500,0.000002,0.019502,1051.6
S15,153,0.003300,0.000011,0.003309,1054.2
S15,264,0.021386,0.000001,0.021387,1051.7
S15,375,0.000458,0.000010,0.000466,1068.0
S15,486,0.002947,0.000016,0.002960,1010.8
S15,597,0.023921,0.000001,0.023922,1021.3
S15,708,0.018810,0.000000,0.018810,1019.2
S15,819,0.021347,0.000000,0.021348,1022.0
S15,930,0.015181,0.000004,0.015184,1013.4
S15,1041,0.014797,0.000002,0.014798,1019.2
